Cristiano Ronaldo,32,Portugal,94,Real Madrid CF,€95.5M,€565K
D. Alaba,25,Austria,86,FC Bayern Munich,€44.5M,€150K
R. Lukaku,24,Belgium,86,Manchester United,€59M,€210K
T. Müller,27,Germany,86,FC Bayern Munich,€47.5M,€190K
Sergio Busquets,28,Spain,86,FC Barcelona,€36M,€250K
M. Reus,28,Germany,86,Borussia Dortmund,€45M,€120K
T. Alderweireld,28,Belgium,86,Tottenham Hotspur,€40.5M,€165K
Diego Costa,28,Spain,86,Chelsea,€46M,€235K
R. Nainggolan,29,Belgium,86,Roma,€42.5M,€130K
Javi Martínez,28,Spain,86,FC Bayern Munich,€36M,€165K
D. Mertens,30,Belgium,86,Napoli,€43M,€135K
Sokratis,29,Greece,86,Borussia Dortmund,€34.5M,€110K
K. Benzema,29,France,86,Real Madrid CF,€44.5M,€295K
Cesc Fàbregas,30,Spain,86,Chelsea,€41M,€210K
F. Ribéry,34,France,86,FC Bayern Munich,€22.5M,€175K
Pepe,34,Portugal,86,Beşiktaş JK,€13.5M,€94K
P. Čech,35,Czech Republic,86,Arsenal,€10.5M,€92K
Y. Carrasco,23,Belgium,85,Atlético Madrid,€51.5M,€77K
R. Varane,24,France,85,Real Madrid CF,€46.5M,€175K
L. Insigne,26,Italy,85,Napoli,€45M,€115K
A. Lacazette,26,France,85,Arsenal,€48.5M,€180K
D. Subašić,32,Croatia,85,AS Monaco,€22M,€46K
B. Leno,25,Germany,85,Bayer 04 Leverkusen,€34M,€61K
M. ter Stegen,25,Germany,85,FC Barcelona,€35.5M,€155K
K. Glik,29,Poland,85,AS Monaco,€30M,€60K
Jordi Alba,28,Spain,85,FC Barcelona,€30.5M,€215K
I. Gündoğan,26,Germany,85,Manchester City,€46M,€190K
Azpilicueta,27,Spain,85,Chelsea,€37.5M,€160K
C. Marchisio,31,Italy,85,Juventus,€33M,€160K
J. Vertonghen,30,Belgium,85,Tottenham Hotspur,€28.5M,€130K
B. Matuidi,30,France,85,Juventus,€28.5M,€145K
S. Ruffier,30,France,85,AS Saint-Étienne,€24.5M,€49K
V. Kompany,31,Belgium,85,Manchester City,€26M,€170K
A. Barzagli,36,Italy,85,Juventus,€5M,€105K
Marco Asensio,21,Spain,84,Real Madrid CF,€46M,€175K
Bernardo Silva,22,Portugal,84,Manchester City,€43.5M,€165K
A. Laporte,23,France,84,Athletic Club de Bilbao,€35.5M,€36K
Carvajal,25,Spain,84,Real Madrid CF,€32M,€195K
J. Draxler,23,Germany,84,Paris Saint-Germain,€39.5M,€120K
Morata,24,Spain,84,Chelsea,€41M,€170K
T. Horn,24,Germany,84,1. FC Köln,€31M,€39K
Koke,25,Spain,84,Atlético Madrid,€39.5M,€84K
K. Manolas,26,Greece,84,Roma,€31.5M,€96K
S. Mustafi,25,Germany,84,Arsenal,€31.5M,€145K
Ander Herrera,27,Spain,84,Manchester United,€32M,€190K
K. Strootman,27,Netherlands,84,Roma,€35M,€105K
Pedro,29,Spain,84,Chelsea,€30.5M,€200K
R. Bürki,26,Switzerland,84,Borussia Dortmund,€26M,€69K
Bruno,33,Spain,84,Villarreal CF,€18.5M,€59K
I. Perišić,28,Croatia,84,Inter,€31.5M,€110K
S. Khedira,30,Germany,84,Juventus,€29M,€160K
R. Fährmann,28,Germany,84,FC Schalke 04,€25M,€54K
Sergio Asenjo,28,Spain,84,Villarreal CF,€25M,€46K
Juan Mata,29,Spain,84,Manchester United,€30.5M,€195K
D. Payet,30,France,84,Olympique de Marseille,€29.5M,€60K
L. Koscielny,31,France,84,Arsenal,€21M,€150K
Aduriz,36,Spain,84,Athletic Club de Bilbao,€11M,€38K
K. Mbappé,18,France,83,Paris Saint-Germain,€41.5M,€31K
O. Dembélé,20,France,83,FC Barcelona,€40M,€150K
T. Lemar,21,France,83,AS Monaco,€38.5M,€37K
João Mário,24,Portugal,83,Inter,€34M,€70K
N. Süle,21,Germany,83,FC Bayern Munich,€30.5M,€78K
A. Belotti,23,Italy,83,Torino,€37M,€58K
E. Forsberg,25,Sweden,83,RB Leipzig,€31.5M,€75K
William Carvalho,25,Portugal,83,Sporting CP,€27.5M,€21K
S. Umtiti,23,France,83,FC Barcelona,€29.5M,€135K
V. van Dijk,25,Netherlands,83,Southampton,€27.5M,€89K
Danilo Pereira,25,Portugal,83,FC Porto,€27.5M,€18K
Vitolo,27,Spain,83,UD Las Palmas,€27M,€68K
A. Lopes,26,Portugal,83,Olympique Lyonnais,€22.5M,€60K
S. de Vrij,25,Netherlands,83,Lazio,€29M,€56K
M. Perin,24,Italy,83,Genoa,€25M,€28K
Iago Aspas,29,Spain,83,RC Celta de Vigo,€26M,€39K
N. Matić,28,Serbia,83,Manchester United,€21M,€140K
Parejo,28,Spain,83,Valencia CF,€25.5M,€45K
G. Bonaventura,27,Italy,83,Milan,€26.5M,€115K
B. Dost,28,Netherlands,83,Sporting CP,€27M,€28K
S. N'Zonzi,28,France,83,Sevilla FC,€21M,€25K
José Callejón,30,Spain,83,Napoli,€24.5M,€87K
Adrien Silva,28,Portugal,83,,€0,€0.00
S. Giovinco,30,Italy,83,Toronto FC,€25M,€15K
M. Mandžukić,31,Croatia,83,Juventus,€23.5M,€135K
B. Höwedes,29,Germany,83,Juventus,€20M,€50K
Rui Patrício,29,Portugal,83,Sporting CP,€17.5M,€19K
Y. Sommer,28,Switzerland,83,Borussia Mönchengladbach,€21M,€39K
M. Schneiderlin,27,France,83,Everton,€25.5M,€115K
K. Gameiro,30,France,83,Atlético Madrid,€25M,€73K
L. Piszczek,32,Poland,83,Borussia Dortmund,€14.5M,€66K
K. Schmeichel,30,Denmark,83,Leicester City,€19M,€65K
M. Dembélé,29,Belgium,83,Tottenham Hotspur,€25M,€115K
Borja Valero,32,Spain,83,Inter,€20M,€80K
L. Perrin,31,France,83,AS Saint-Étienne,€17.5M,€46K
Juanfran,32,Spain,83,Atlético Madrid,€14.5M,€62K
Diego López,35,Spain,83,RCD Espanyol,€6M,€19K
Santi Cazorla,32,Spain,83,Arsenal,€19.5M,€130K
W. Sneijder,33,Netherlands,83,OGC Nice,€15.5M,€47K
Nani,30,Portugal,83,Lazio,€24.5M,€47K
D. De Rossi,33,Italy,83,Roma,€10.5M,€73K
José Reina,34,Spain,83,Napoli,€10.5M,€59K
Quaresma,33,Portugal,83,Beşiktaş JK,€15.5M,€67K
Casillas,36,Spain,83,FC Porto,€3.5M,€10K
G. Donnarumma,18,Italy,82,Milan,€28.5M,€35K
L. Sané,21,Germany,82,Manchester City,€34.5M,€125K
T. Bakayoko,22,France,82,Chelsea,€26M,€105K
C. Tolisso,22,France,82,FC Bayern Munich,€30.5M,€98K
N. Fekir,23,France,82,Olympique Lyonnais,€28M,€70K
J. Tah,21,Germany,82,Bayer 04 Leverkusen,€26M,€47K
F. Bernardeschi,23,Italy,82,Juventus,€30.5M,€110K
T. Werner,21,Germany,82,RB Leipzig,€30.5M,€68K
André Gomes,23,Portugal,82,FC Barcelona,€30M,€150K
A. Martial,21,France,82,Manchester United,€33M,€115K
L. Goretzka,22,Germany,82,FC Schalke 04,€30M,€46K
Q. Promes,25,Netherlands,82,Spartak Moscow,€28M,€76K
Lucas Vázquez,26,Spain,82,Real Madrid CF,€26M,€185K
Saúl,22,Spain,82,Atlético Madrid,€32M,€59K
F. Vázquez,28,Italy,82,Sevilla FC,€22.5M,€27K
M. Kovačić,23,Croatia,82,Real Madrid CF,€30M,€150K
Sergio Rico,23,Spain,82,Sevilla FC,€21.5M,€16K
Manu Trigueros,25,Spain,82,Villarreal CF,€27.5M,€43K
A. Rüdiger,24,Germany,82,Chelsea,€24.5M,€105K
F. Thauvin,24,France,82,Olympique de Marseille,€28M,€40K
S. Savić,26,Montenegro,82,Atlético Madrid,€24M,€62K
Iñigo Martínez,26,Spain,82,Real Sociedad,€24M,€37K
Roque Mesa,28,Spain,82,Swansea City,€18M,€85K
A. Florenzi,26,Italy,82,Roma,€22M,€73K
D. Klaassen,24,Netherlands,82,Everton,€27.5M,€110K
K. Bellarabi,27,Germany,82,Bayer 04 Leverkusen,€23M,€67K
Suso,23,Spain,82,Milan,€29.5M,€110K
Deulofeu,23,Spain,82,FC Barcelona,€31M,€165K
F. Acerbi,29,Italy,82,Sassuolo,€17M,€68K
G. Xhaka,24,Switzerland,82,Arsenal,€27.5M,€110K
Jonathan Viera,27,Spain,82,UD Las Palmas,€23M,€31K
Pizzi,27,Portugal,82,SL Benfica,€23M,€19K
O. Baumann,27,Germany,82,TSG 1899 Hoffenheim,€18M,€37K
Víctor Ruíz,28,Spain,82,Villarreal CF,€20M,€43K
X. Shaqiri,25,Switzerland,82,Stoke City,€28M,€85K
C. Immobile,27,Italy,82,Lazio,€26M,€70K
Iborra,29,Spain,82,Leicester City,€17M,€85K
K. Trapp,26,Germany,82,Paris Saint-Germain,€18.5M,€71K
L. Stindl,28,Germany,82,Borussia Mönchengladbach,€23M,€56K
M. Balotelli,26,Italy,82,OGC Nice,€24.5M,€51K
W. Szczęsny,27,Poland,82,Juventus,€18M,€90K
G. Sigurðsson,27,Iceland,82,Everton,€23M,€130K
M. Arnautović,28,Austria,82,West Ham United,€22.5M,€125K
M. Kruse,29,Germany,82,SV Werder Bremen,€22M,€47K
O. Karnezis,31,Greece,82,Watford,€13.5M,€30K
L. Fejsa,28,Serbia,82,SL Benfica,€18M,€18K
V. Ćorluka,31,Croatia,82,Lokomotiv Moscow,€15M,€54K
G. Wijnaldum,26,Netherlands,82,Liverpool,€27M,€130K
O. Giroud,30,France,82,Arsenal,€21.5M,€140K
B. Ivanović,33,Serbia,82,Zenit St. Petersburg,€9M,€73K
Beñat,30,Spain,82,Athletic Club de Bilbao,€20.5M,€35K
L. Bender,28,Germany,82,Bayer 04 Leverkusen,€20M,€64K
A. Witsel,28,Belgium,82,,€0,€0.00
E. Viviano,31,Italy,82,Sampdoria,€13.5M,€37K
G. Castro,30,Germany,82,Borussia Dortmund,€20.5M,€72K
S. Nasri,30,France,82,Antalyaspor,€21M,€29K
S. Mandanda,32,France,82,Olympique de Marseille,€12.5M,€31K
A. Consigli,30,Italy,82,Sassuolo,€14M,€52K
João Moutinho,30,Portugal,82,AS Monaco,€20.5M,€48K
B. Costil,29,France,82,Girondins de Bordeaux,€15M,€46K
Raúl Albiol,31,Spain,82,Napoli,€15M,€73K
M. Gómez,31,Germany,82,VfL Wolfsburg,€20M,€85K
David Villa,35,Spain,82,New York City Football Club,€10M,€12K
S. Lichtsteiner,33,Switzerland,82,Juventus,€8.5M,€115K
R. Jarstein,32,Norway,82,Hertha BSC Berlin,€12.5M,€30K
Nélson Semedo,23,Portugal,81,FC Barcelona,€20.5M,€125K
Gelson Martins,22,Portugal,81,Sporting CP,€25M,€20K
J. Weigl,21,Germany,81,Borussia Dortmund,€21M,€46K
A. Kramarić,26,Croatia,81,TSG 1899 Hoffenheim,€22M,€50K
M. Brozović,24,Croatia,81,Inter,€23M,€64K
Williams,23,Spain,81,Athletic Club de Bilbao,€24.5M,€31K
Dani García,27,Spain,81,SD Eibar,€17M,€26K
A. Christensen,21,Denmark,81,Chelsea,€23M,€86K
J. Kimmich,22,Germany,81,FC Bayern Munich,€20.5M,€81K
Bruma,22,Portugal,81,RB Leipzig,€24M,€63K
D. Berardi,22,Italy,81,Sassuolo,€24.5M,€62K
M. Sanson,22,France,81,Olympique de Marseille,€24M,€34K
A. Rabiot,22,France,81,Paris Saint-Germain,€23.5M,€77K
R. Guerreiro,23,Portugal,81,Borussia Dortmund,€24M,€58K
Jorginho,25,Italy,81,Napoli,€22M,€71K
Héctor Bellerín,22,Spain,81,Arsenal,€21M,€91K
S. Zaza,26,Italy,81,Valencia CF,€21M,€44K
T. Meunier,25,Belgium,81,Paris Saint-Germain,€18.5M,€77K
Nacho Fernández,27,Spain,81,Real Madrid CF,€17.5M,€145K
J. Cillessen,28,Netherlands,81,FC Barcelona,€15M,€125K
Sergi Roberto,25,Spain,81,FC Barcelona,€19.5M,€140K
W. Ben Yedder,26,France,81,Sevilla FC,€21M,€26K
Lucas Pérez,28,Spain,81,RC Deportivo de La Coruña,€18.5M,€135K
Bartra,26,Spain,81,Borussia Dortmund,€18M,€61K
G. Krychowiak,27,Poland,81,West Bromwich Albion,€17.5M,€81K
K. Kampl,26,Slovenia,81,RB Leipzig,€21M,€73K
D. Lovren,27,Croatia,81,Liverpool,€17.5M,€110K
A. Yarmolenko,27,Ukraine,81,Borussia Dortmund,€18.5M,€72K
R. Rodríguez,24,Switzerland,81,Milan,€18.5M,€83K
Mario Gaspar,26,Spain,81,Villarreal CF,€18M,€38K
Marcos Alonso,26,Spain,81,Chelsea,€17.5M,€115K
M. Götze,25,Germany,81,Borussia Dortmund,€22.5M,€63K
L. Hrádecký,27,Finland,81,Eintracht Frankfurt,€14.5M,€28K
Illarramendi,27,Spain,81,Real Sociedad,€18M,€37K
De Marcos,28,Spain,81,Athletic Club de Bilbao,€14M,€31K
Iturraspe,28,Spain,81,Athletic Club de Bilbao,€17.5M,€33K
S. Rudy,27,Germany,81,FC Bayern Munich,€20M,€105K
Camacho,27,Spain,81,VfL Wolfsburg,€18M,€66K
N. Kalinić,29,Croatia,81,Milan,€18M,€84K
C. Benteke,26,Belgium,81,Crystal Palace,€22M,€75K
M. Parolo,32,Italy,81,Lazio,€13.5M,€60K
K. Mitroglou,29,Greece,81,Olympique de Marseille,€18M,€44K
M. Sakho,27,France,81,Crystal Palace,€17M,€63K
A. Rami,31,France,81,Olympique de Marseille,€12M,€35K
S. Jovetić,27,Montenegro,81,AS Monaco,€21M,€48K
S. Kjær,28,Denmark,81,Sevilla FC,€16M,€23K
Adán,30,Spain,81,Real Betis Balompié,€11.5M,€24K
M. Valbuena,32,France,81,Fenerbahçe SK,€14M,€86K
S. Mignolet,29,Belgium,81,Liverpool,€12M,€91K
D. Astori,30,Italy,81,Fiorentina,€13M,€68K
K. Mirallas,29,Belgium,81,Everton,€17.5M,€125K
Raúl García,30,Spain,81,Athletic Club de Bilbao,€17M,€32K
H. Ben Arfa,30,France,81,Paris Saint-Germain,€17M,€88K
A. Gignac,31,France,81,Tigres U.A.N.L.,€16M,€84K
Gabi,33,Spain,81,Atlético Madrid,€10.5M,€62K
D. Srna,35,Croatia,81,Shakhtar Donetsk,€3.8M,€1K
B. Schweinsteiger,32,Germany,81,Chicago Fire Soccer Club,€13.5M,€13K
C. Carrasso,35,France,81,Galatasaray SK,€4.2M,€34K
Moyá,33,Spain,81,Atlético Madrid,€9M,€46K
P. Mertesacker,32,Germany,81,Arsenal,€10M,€110K
T. Motta,34,Italy,81,Paris Saint-Germain,€5.5M,€81K
Fernando Torres,33,Spain,81,Atlético Madrid,€11M,€68K
S. Milinković-Savić,22,Serbia,80,Lazio,€20M,€52K
Y. Tielemans,20,Belgium,80,AS Monaco,€23.5M,€35K
J. Brandt,21,Germany,80,Bayer 04 Leverkusen,€22M,€49K
K. Demirbay,23,Germany,80,TSG 1899 Hoffenheim,€19.5M,€40K
D. Rugani,22,Italy,80,Juventus,€19M,€88K
Samu Castillejo,22,Spain,80,Villarreal CF,€20M,€36K
P. Zieliński,23,Poland,80,Napoli,€20.5M,€64K
Ricardo Pereira,23,Portugal,80,FC Porto,€17M,€15K
Grimaldo,21,Spain,80,SL Benfica,€17.5M,€12K
J. Hector,27,Germany,80,1. FC Köln,€14M,€42K
E. Can,23,Germany,80,Liverpool,€19.5M,€105K
Arrizabalaga,22,Spain,80,Athletic Club de Bilbao,€15.5M,€20K
A. Pléa,24,France,80,OGC Nice,€20.5M,€41K
T. Stepanenko,27,Ukraine,80,Shakhtar Donetsk,€14M,€1K
M. Nastasić,24,Serbia,80,FC Schalke 04,€16.5M,€38K
Denis Suárez,23,Spain,80,FC Barcelona,€20.5M,€140K
M. Batshuayi,23,Belgium,80,Chelsea,€20M,€120K
L. Karius,24,Germany,80,Liverpool,€14M,€71K
T. Hazard,24,Belgium,80,Borussia Mönchengladbach,€19.5M,€44K
V. Germain,27,France,80,Olympique de Marseille,€16M,€42K
L. Kurzawa,24,France,80,Paris Saint-Germain,€16.5M,€69K
J. Iličić,29,Slovenia,80,Atalanta,€15M,€42K
K. Volland,24,Germany,80,Bayer 04 Leverkusen,€19M,€59K
D. Tadić,28,Serbia,80,Southampton,€15M,€98K
Pablo Sarabia,25,Spain,80,Sevilla FC,€18.5M,€23K
J. Guilavogui,26,France,80,VfL Wolfsburg,€15M,€66K
Y. Rakitskyi,27,Ukraine,80,Shakhtar Donetsk,€14.5M,€1K
Sergi Enrich,27,Spain,80,SD Eibar,€17.5M,€31K
Hugo Mallo,26,Spain,80,RC Celta de Vigo,€15M,€29K
D. Didavi,27,Germany,80,VfL Wolfsburg,€17M,€73K
R. Soriano,26,Italy,80,Villarreal CF,€17.5M,€42K
A. Schürrle,26,Germany,80,Borussia Dortmund,€17.5M,€66K
M. Gonalons,28,France,80,Roma,€12M,€71K
K. Vogt,25,Germany,80,TSG 1899 Hoffenheim,€15M,€40K
D. Blind,27,Netherlands,80,Manchester United,€13.5M,€120K
S. El Shaarawy,24,Italy,80,Roma,€19M,€71K
Iago Falqué,27,Spain,80,Torino,€15.5M,€61K
Daniel Carriço,28,Portugal,80,Sevilla FC,€13.5M,€23K
M. Schmelzer,29,Germany,80,Borussia Dortmund,€11M,€63K
Mikel San José,28,Spain,80,Athletic Club de Bilbao,€14.5M,€33K
M. Darmian,27,Italy,80,Manchester United,€13.5M,€120K
R. Thomas,29,France,80,Angers SCO,€11.5M,€32K
J. Lens,29,Netherlands,80,Beşiktaş JK,€14.5M,€17K
Eder,30,Italy,80,Inter,€14.5M,€80K
Kiko Casilla,30,Spain,80,Real Madrid CF,€9.5M,€120K
Nacho Monreal,31,Spain,80,Arsenal,€9.5M,€110K
S. Bender,28,Germany,80,Bayer 04 Leverkusen,€13.5M,€59K
M. Berg,30,Sweden,80,,€0,€0.00
V. Birsa,30,Slovenia,80,Chievo Verona,€14M,€25K
Pedro León,30,Spain,80,SD Eibar,€14M,€29K
Marcano,30,Spain,80,FC Porto,€11M,€18K
A. Candreva,30,Italy,80,Inter,€14M,€74K
D. Criscito,30,Italy,80,Zenit St. Petersburg,€10.5M,€67K
D. Wass,28,Denmark,80,RC Celta de Vigo,€14.5M,€33K
Coke,30,Spain,80,FC Schalke 04,€10.5M,€44K
D. Basta,32,Serbia,80,Lazio,€8M,€54K
G. Paletta,31,Italy,80,Milan,€10M,€96K
L. Fabiański,32,Poland,80,Swansea City,€8.5M,€60K
Manuel Fernandes,31,Portugal,80,Lokomotiv Moscow,€13M,€54K
A. Granqvist,32,Sweden,80,FC Krasnodar,€8.5M,€50K
L. Podolski,32,Germany,80,Vissel Kobe,€12M,€13K
Javi Fuego,33,Spain,80,RCD Espanyol,€6M,€34K
A. Mirante,33,Italy,80,Bologna,€7.5M,€48K
F. Marchetti,34,Italy,80,Lazio,€6M,€44K
J. Mathieu,33,France,80,Sporting CP,€6M,€21K
P. Evra,36,France,80,Olympique de Marseille,€1.7M,€25K
Oyarzabal,20,Spain,79,Real Sociedad,€18M,€33K
F. Andone,24,Romania,79,RC Deportivo de La Coruña,€17M,€31K
V. Lindelöf,22,Sweden,79,Manchester United,€15M,€105K
Y. Cardinale,23,France,79,OGC Nice,€12.5M,€26K
C. Lenglet,22,France,79,Sevilla FC,€14.5M,€19K
M. Dahoud,21,Germany,79,Borussia Dortmund,€18.5M,€52K
D. Zappacosta,25,Italy,79,Chelsea,€13.5M,€110K
N. Maksimović,25,Serbia,79,Napoli,€13.5M,€64K
K. Coman,21,France,79,FC Bayern Munich,€18M,€81K
W. Cyprien,22,France,79,OGC Nice,€18.5M,€37K
Diego Llorente,23,Spain,79,Real Sociedad,€16M,€29K
L. Dendoncker,22,Belgium,79,RSC Anderlecht,€15M,€25K
M. Meyer,21,Germany,79,FC Schalke 04,€18M,€38K
Gayà,22,Spain,79,Valencia CF,€14M,€31K
M. Benassi,22,Italy,79,Fiorentina,€17.5M,€64K
E. Hysaj,23,Albania,79,Napoli,€13.5M,€58K
João Cancelo,23,Portugal,79,Inter,€15M,€31K
A. Romagnoli,22,Italy,79,Milan,€16M,€83K
Óliver Torres,22,Spain,79,FC Porto,€17M,€17K
Gerard Moreno,25,Spain,79,RCD Espanyol,€16.5M,€39K
M. Arnold,23,Germany,79,VfL Wolfsburg,€16.5M,€63K
S. Gnabry,21,Germany,79,TSG 1899 Hoffenheim,€18.5M,€81K
D. Baselli,25,Italy,79,Torino,€16.5M,€54K
A. Milik,23,Poland,79,Napoli,€18M,€71K
Bernat,24,Spain,79,FC Bayern Munich,€13.5M,€81K
W. Orban,24,Germany,79,RB Leipzig,€13.5M,€57K
Rubén Pardo,24,Spain,79,Real Sociedad,€16M,€33K
K. Zouma,22,France,79,Stoke City,€15M,€96K
C. Kramer,26,Germany,79,Borussia Mönchengladbach,€13M,€42K
S. Vrsaljko,25,Croatia,79,Atlético Madrid,€13.5M,€54K
J. Vestergaard,24,Denmark,79,Borussia Mönchengladbach,€14.5M,€36K
M. Depay,23,Netherlands,79,Olympique Lyonnais,€17M,€71K
N. Sansone,25,Italy,79,Villarreal CF,€16M,€43K
P. Ntep,24,France,79,VfL Wolfsburg,€16M,€63K
V. Darida,26,Czech Republic,79,Hertha BSC Berlin,€14.5M,€38K
Cédric,25,Portugal,79,Southampton,€13M,€82K
L. Tonelli,27,Italy,79,Napoli,€12.5M,€68K
R. Saponara,25,Italy,79,Fiorentina,€16M,€6K
D. Sidibé,24,France,79,AS Monaco,€13M,€35K
Y. Konoplyanka,27,Ukraine,79,FC Schalke 04,€13M,€53K
L. Digne,23,France,79,FC Barcelona,€14M,€125K
Paco Alcácer,23,Spain,79,FC Barcelona,€17.5M,€150K
Vicente Gómez,28,Spain,79,UD Las Palmas,€12.5M,€30K
N. Jørgensen,26,Denmark,79,Feyenoord,€15.5M,€25K
Oriol Romeu,25,Spain,79,Southampton,€13M,€82K
Nolito,30,Spain,79,Sevilla FC,€12M,€26K
B. Martins Indi,25,Netherlands,79,Stoke City,€13.5M,€71K
M. Gabbiadini,25,Italy,79,Southampton,€16.5M,€98K
P. Herrmann,26,Germany,79,Borussia Mönchengladbach,€15M,€46K
F. Lejeune,26,France,79,Newcastle United,€13.5M,€75K
J. Bruma,25,Netherlands,79,VfL Wolfsburg,€13.5M,€63K
Adrián,30,Spain,79,West Ham United,€8M,€80K
Keko,25,Spain,79,Málaga CF,€16M,€31K
Jaume Costa,29,Spain,79,Villarreal CF,€9.5M,€40K
A. Areola,24,France,79,Paris Saint-Germain,€13M,€54K
Escudero,27,Spain,79,Sevilla FC,€10.5M,€22K
S. Corchia,26,France,79,Sevilla FC,€12M,€22K
J. Zoet,26,Netherlands,79,PSV,€11M,€17K
A. Ljajić,25,Serbia,79,Torino,€16M,€58K
Canales,26,Spain,79,Real Sociedad,€15.5M,€37K
M. Hitz,29,Switzerland,79,FC Augsburg,€8.5M,€27K
Balenziaga,29,Spain,79,Athletic Club de Bilbao,€9.5M,€31K
B. Hübner,27,Germany,79,TSG 1899 Hoffenheim,€10.5M,€42K
F. Coquelin,26,France,79,Arsenal,€12M,€110K
R. Zieler,28,Germany,79,VfB Stuttgart,€10M,€27K
A. Kolarov,31,Serbia,79,Roma,€8M,€68K
K. Papadopoulos,25,Greece,79,Hamburger SV,€13.5M,€40K
S. Wagner,29,Germany,79,TSG 1899 Hoffenheim,€12.5M,€52K
A. Ogbonna,29,Italy,79,West Ham United,€10M,€105K
Roberto,31,Spain,79,Málaga CF,€7.5M,€28K
W. Vainqueur,28,France,79,Antalyaspor,€10M,€25K
Antunes,30,Portugal,79,Getafe CF,€9M,€29K
Fabricio,29,Spain,79,Beşiktaş JK,€10M,€48K
S. Prödl,30,Austria,79,Watford,€9.5M,€63K
S. Tasci,30,Germany,79,Spartak Moscow,€9.5M,€67K
Bojan,26,Spain,79,Deportivo Alavés,€15M,€82K
M. Fellaini,29,Belgium,79,Manchester United,€12M,€140K
P. Wernbloom,31,Sweden,79,CSKA Moscow,€8.5M,€52K
Z. Junuzović,29,Austria,79,SV Werder Bremen,€12M,€40K
D. Zurutuza,30,France,79,Real Sociedad,€11.5M,€37K
José Fonte,33,Portugal,79,West Ham United,€5M,€99K
S. Sirigu,30,Italy,79,Torino,€8M,€41K
Y. Cabaye,31,France,79,Crystal Palace,€11M,€69K
S. Radu,30,Romania,79,Lazio,€9M,€54K
M. Krohn-Dehli,34,Denmark,79,Sevilla FC,€6.5M,€24K
Jurado,31,Spain,79,RCD Espanyol,€11M,€37K
B. Gomis,31,France,79,Galatasaray SK,€11.5M,€77K
Xabi Prieto,33,Spain,79,Real Sociedad,€7.5M,€37K
Negredo,31,Spain,79,Beşiktaş JK,€11.5M,€67K
A. Pyatov,33,Ukraine,79,Shakhtar Donetsk,€6.5M,€1K
M. Vorm,33,Netherlands,79,Tottenham Hotspur,€6.5M,€74K
D. Baier,33,Germany,79,FC Augsburg,€5M,€32K
R. Adler,32,Germany,79,1. FSV Mainz 05,€7M,€28K
S. Sorrentino,38,Italy,79,Chievo Verona,€850K,€12K
T. Rosický,36,Czech Republic,79,Sparta Praha,€4.2M,€1K
A. Pirlo,38,Italy,79,New York City Football Club,€4M,€10K
André Silva,21,Portugal,78,Milan,€15.5M,€77K
K. Dolberg,19,Denmark,78,Ajax,€16.5M,€10K
Yeray,22,Spain,78,Athletic Club de Bilbao,€12M,€21K
L. Tousart,20,France,78,Olympique Lyonnais,€14M,€43K
V. Koziello,21,France,78,OGC Nice,€14.5M,€28K
N. Radoja,24,Serbia,78,RC Celta de Vigo,€13.5M,€23K
V. Rongier,22,France,78,FC Nantes,€14M,€24K
Jorge Meré,20,Spain,78,1. FC Köln,€12M,€26K
