Name,Age,Nationality,Fifa Score,Club,Value,Salary,Continent
M. Özil,28,Germany,88,Arsenal,€60M,€265K,EU'
H. Lloris,30,France,88,Tottenham Hotspur,€38M,€165K,EU'
Thiago Silva,32,Brazil,88,Paris Saint-Germain,€34M,€175K,SA'
Z. Ibrahimović,35,Sweden,88,Manchester United,€27M,€240K,EU'
A. Robben,33,Netherlands,88,FC Bayern Munich,€36M,€225K,EU'
N. Kanté,26,France,87,Chelsea,€52.5M,€190K,EU'
M. Verratti,24,Italy,87,Paris Saint-Germain,€64.5M,€130K,EU'
P. Pogba,24,France,87,Manchester United,€66.5M,€195K,EU'
C. Eriksen,25,Denmark,87,Tottenham Hotspur,€65M,€165K,EU'
A. Vidal,30,Chile,87,FC Bayern Munich,€37.5M,€160K,SA'
E. Cavani,30,Uruguay,87,Paris Saint-Germain,€48.5M,€160K,SA'
Marcelo,29,Brazil,87,Real Madrid CF,€38M,€250K,SA'
M. Hamšík,29,Slovakia,87,Napoli,€48.5M,€130K,
I. Rakitić,29,Croatia,87,FC Barcelona,€48.5M,€275K,EU'
David Silva,31,Spain,87,Manchester City,€44M,€220K,EU'
S. Handanovič,32,Slovenia,87,Inter,€29M,€91K,EU'
Piqué,30,Spain,87,FC Barcelona,€37.5M,€240K,EU'
Iniesta,33,Spain,87,FC Barcelona,€29.5M,€260K,EU'
H. Kane,23,England,86,Tottenham Hotspur,€59M,€165K,
J. Rodríguez,25,Colombia,86,FC Bayern Munich,€56M,€250K,SA'
Isco,25,Spain,86,Real Madrid CF,€56.5M,€250K,EU'
D. Alaba,25,Austria,86,FC Bayern Munich,€44.5M,€150K,EU'
R. Lukaku,24,Belgium,86,Manchester United,€59M,€210K,EU'
Alex Sandro,26,Brazil,86,Juventus,€44M,€175K,SA'
T. Müller,27,Germany,86,FC Bayern Munich,€47.5M,€190K,EU'
Sergio Busquets,28,Spain,86,FC Barcelona,€36M,€250K,EU'
Coutinho,25,Brazil,86,Liverpool,€56M,€205K,SA'
M. Reus,28,Germany,86,Borussia Dortmund,€45M,€120K,EU'
T. Alderweireld,28,Belgium,86,Tottenham Hotspur,€40.5M,€165K,EU'
David Luiz,30,Brazil,86,Chelsea,€33M,€190K,SA'
Diego Costa,28,Spain,86,Chelsea,€46M,€235K,EU'
R. Nainggolan,29,Belgium,86,Roma,€42.5M,€130K,EU'
Javi Martínez,28,Spain,86,FC Bayern Munich,€36M,€165K,EU'
D. Mertens,30,Belgium,86,Napoli,€43M,€135K,EU'
Sokratis,29,Greece,86,Borussia Dortmund,€34.5M,€110K,EU'
Miranda,32,Brazil,86,Inter,€25.5M,€115K,SA'
K. Benzema,29,France,86,Real Madrid CF,€44.5M,€295K,EU'
Cesc Fàbregas,30,Spain,86,Chelsea,€41M,€210K,EU'
F. Ribéry,34,France,86,FC Bayern Munich,€22.5M,€175K,EU'
Pepe,34,Portugal,86,Beşiktaş JK,€13.5M,€94K,EU'
P. Čech,35,Czech Republic,86,Arsenal,€10.5M,€92K,EU'
Y. Carrasco,23,Belgium,85,Atlético Madrid,€51.5M,€77K,EU'
R. Varane,24,France,85,Real Madrid CF,€46.5M,€175K,EU'
Casemiro,25,Brazil,85,Real Madrid CF,€42M,€195K,SA'
L. Insigne,26,Italy,85,Napoli,€45M,€115K,EU'
A. Lacazette,26,France,85,Arsenal,€48.5M,€180K,EU'
K. Navas,30,Costa Rica,85,Real Madrid CF,€24.5M,€165K,NA'
H. Mkhitaryan,28,Armenia,85,Manchester United,€39M,€195K,AS'
D. Subašić,32,Croatia,85,AS Monaco,€22M,€46K,EU'
B. Leno,25,Germany,85,Bayer 04 Leverkusen,€34M,€61K,EU'
M. ter Stegen,25,Germany,85,FC Barcelona,€35.5M,€155K,EU'
K. Glik,29,Poland,85,AS Monaco,€30M,€60K,EU'
Jordi Alba,28,Spain,85,FC Barcelona,€30.5M,€215K,EU'
I. Gündoğan,26,Germany,85,Manchester City,€46M,€190K,EU'
Azpilicueta,27,Spain,85,Chelsea,€37.5M,€160K,EU'
A. Di María,29,Argentina,85,Paris Saint-Germain,€37.5M,€145K,SA'
M. Pjanić,27,Bosnia Herzegovina,85,Juventus,€43.5M,€160K,
C. Marchisio,31,Italy,85,Juventus,€33M,€160K,EU'
J. Vertonghen,30,Belgium,85,Tottenham Hotspur,€28.5M,€130K,EU'
B. Matuidi,30,France,85,Juventus,€28.5M,€145K,EU'
S. Ruffier,30,France,85,AS Saint-Étienne,€24.5M,€49K,EU'
Filipe Luís,31,Brazil,85,Atlético Madrid,€25M,€81K,SA'
V. Kompany,31,Belgium,85,Manchester City,€26M,€170K,EU'
A. Barzagli,36,Italy,85,Juventus,€5M,€105K,EU'
E. Bailly,23,Ivory Coast,84,Manchester United,€35.5M,€150K,
Marco Asensio,21,Spain,84,Real Madrid CF,€46M,€175K,EU'
Bernardo Silva,22,Portugal,84,Manchester City,€43.5M,€165K,EU'
A. Laporte,23,France,84,Athletic Club de Bilbao,€35.5M,€36K,EU'
D. Alli,21,England,84,Tottenham Hotspur,€43M,€115K,
S. Mané,25,Senegal,84,Liverpool,€39M,€175K,AF'
Carvajal,25,Spain,84,Real Madrid CF,€32M,€195K,EU'
J. Draxler,23,Germany,84,Paris Saint-Germain,€39.5M,€120K,EU'
M. Icardi,24,Argentina,84,Inter,€42M,€105K,SA'
Morata,24,Spain,84,Chelsea,€41M,€170K,EU'
K. Koulibaly,26,Senegal,84,Napoli,€32.5M,€96K,AF'
T. Horn,24,Germany,84,1. FC Köln,€31M,€39K,EU'
Koke,25,Spain,84,Atlético Madrid,€39.5M,€84K,EU'
K. Manolas,26,Greece,84,Roma,€31.5M,€96K,EU'
S. Mustafi,25,Germany,84,Arsenal,€31.5M,€145K,EU'
Ander Herrera,27,Spain,84,Manchester United,€32M,€190K,EU'
K. Strootman,27,Netherlands,84,Roma,€35M,€105K,EU'
Pedro,29,Spain,84,Chelsea,€30.5M,€200K,EU'
R. Bürki,26,Switzerland,84,Borussia Dortmund,€26M,€69K,EU'
Bruno,33,Spain,84,Villarreal CF,€18.5M,€59K,EU'
I. Perišić,28,Croatia,84,Inter,€31.5M,€110K,EU'
E. Džeko,31,Bosnia Herzegovina,84,Roma,€28M,€115K,
Willian,28,Brazil,84,Chelsea,€31.5M,€200K,SA'
S. Khedira,30,Germany,84,Juventus,€29M,€160K,EU'
R. Fährmann,28,Germany,84,FC Schalke 04,€25M,€54K,EU'
Sergio Asenjo,28,Spain,84,Villarreal CF,€25M,€46K,EU'
Juan Mata,29,Spain,84,Manchester United,€30.5M,€195K,EU'
M. Benatia,30,Morocco,84,Juventus,€23M,€145K,AF'
D. Payet,30,France,84,Olympique de Marseille,€29.5M,€60K,EU'
Falcao,31,Colombia,84,AS Monaco,€28M,€68K,SA'
L. Koscielny,31,France,84,Arsenal,€21M,€150K,EU'
G. Cahill,31,England,84,Chelsea,€21M,€160K,
Dani Alves,34,Brazil,84,Paris Saint-Germain,€9M,€115K,SA'
A. Gómez,29,Argentina,84,Atalanta,€31M,€60K,SA'
Aduriz,36,Spain,84,Athletic Club de Bilbao,€11M,€38K,EU'
K. Mbappé,18,France,83,Paris Saint-Germain,€41.5M,€31K,EU'
O. Dembélé,20,France,83,FC Barcelona,€40M,€150K,EU'
N. Keïta,22,Guinea,83,RB Leipzig,€34M,€68K,AF'
J. Giménez,22,Uruguay,83,Atlético Madrid,€28.5M,€53K,SA'
G. Rulli,25,Argentina,83,Real Sociedad,€25.5M,€28K,SA'
T. Lemar,21,France,83,AS Monaco,€38.5M,€37K,EU'
João Mário,24,Portugal,83,Inter,€34M,€70K,EU'
N. Süle,21,Germany,83,FC Bayern Munich,€30.5M,€78K,EU'
Ederson,23,Brazil,83,Manchester City,€26M,€87K,SA'
Fabinho,23,Brazil,83,AS Monaco,€29.5M,€37K,SA'
M. Salah,25,Egypt,83,Liverpool,€32.5M,€135K,AF'
A. Belotti,23,Italy,83,Torino,€37M,€58K,EU'
E. Forsberg,25,Sweden,83,RB Leipzig,€31.5M,€75K,EU'
Marquinhos,23,Brazil,83,Paris Saint-Germain,€30.5M,€75K,SA'
William Carvalho,25,Portugal,83,Sporting CP,€27.5M,€21K,EU'
S. Umtiti,23,France,83,FC Barcelona,€29.5M,€135K,EU'
R. Mahrez,26,Algeria,83,Leicester City,€30.5M,€88K,AF'
V. van Dijk,25,Netherlands,83,Southampton,€27.5M,€89K,EU'
Roberto Firmino,25,Brazil,83,Liverpool,€34M,€135K,SA'
Danilo Pereira,25,Portugal,83,FC Porto,€27.5M,€18K,EU'
Vitolo,27,Spain,83,UD Las Palmas,€27M,€68K,EU'
A. Lopes,26,Portugal,83,Olympique Lyonnais,€22.5M,€60K,EU'
S. de Vrij,25,Netherlands,83,Lazio,€29M,€56K,EU'
M. Perin,24,Italy,83,Genoa,€25M,€28K,EU'
J. Matip,25,Cameroon,83,Liverpool,€26.5M,€110K,AF'
I. Gueye,27,Senegal,83,Everton,€24.5M,€115K,AF'
Iago Aspas,29,Spain,83,RC Celta de Vigo,€26M,€39K,EU'
N. Otamendi,29,Argentina,83,Manchester City,€20M,€140K,SA'
N. Matić,28,Serbia,83,Manchester United,€21M,€140K,EU'
J. Pastore,28,Argentina,83,Paris Saint-Germain,€25.5M,€100K,SA'
Parejo,28,Spain,83,Valencia CF,€25.5M,€45K,EU'
S. Kagawa,28,Japan,83,Borussia Dortmund,€26M,€75K,AS'
G. Bonaventura,27,Italy,83,Milan,€26.5M,€115K,EU'
B. Dost,28,Netherlands,83,Sporting CP,€27M,€28K,EU'
K. Walker,27,England,83,Manchester City,€24M,€130K,
Oscar,25,Brazil,83,,€0,€0.00,SA'
S. N'Zonzi,28,France,83,Sevilla FC,€21M,€25K,EU'
M. Musacchio,26,Argentina,83,Milan,€27M,€105K,SA'
O. Toprak,27,Turkey,83,Borussia Dortmund,€24.5M,€66K,AS'
José Callejón,30,Spain,83,Napoli,€24.5M,€87K,EU'
Adrien Silva,28,Portugal,83,,€0,€0.00,EU'
S. Giovinco,30,Italy,83,Toronto FC,€25M,€15K,EU'
N. Gaitán,29,Argentina,83,Atlético Madrid,€25.5M,€70K,SA'
M. Mandžukić,31,Croatia,83,Juventus,€23.5M,€135K,EU'
A. Lallana,29,England,83,Liverpool,€25M,€135K,
B. Höwedes,29,Germany,83,Juventus,€20M,€50K,EU'
E. Banega,29,Argentina,83,Sevilla FC,€25.5M,€27K,SA'
Rui Patrício,29,Portugal,83,Sporting CP,€17.5M,€19K,EU'
Y. Sommer,28,Switzerland,83,Borussia Mönchengladbach,€21M,€39K,EU'
M. Schneiderlin,27,France,83,Everton,€25.5M,€115K,EU'
Jonas,33,Brazil,83,SL Benfica,€16.5M,€21K,SA'
K. Gameiro,30,France,83,Atlético Madrid,€25M,€73K,EU'
L. Piszczek,32,Poland,83,Borussia Dortmund,€14.5M,€66K,EU'
E. Garay,30,Argentina,83,Valencia CF,€19M,€40K,SA'
A. Valencia,31,Ecuador,83,Manchester United,€17M,€130K,SA'
K. Schmeichel,30,Denmark,83,Leicester City,€19M,€65K,EU'
M. Dembélé,29,Belgium,83,Tottenham Hotspur,€25M,€115K,EU'
Borja Valero,32,Spain,83,Inter,€20M,€80K,EU'
L. Perrin,31,France,83,AS Saint-Étienne,€17.5M,€46K,EU'
L. Biglia,31,Argentina,83,Milan,€17.5M,€105K,SA'
Juanfran,32,Spain,83,Atlético Madrid,€14.5M,€62K,EU'
Diego López,35,Spain,83,RCD Espanyol,€6M,€19K,EU'
Santi Cazorla,32,Spain,83,Arsenal,€19.5M,€130K,EU'
J. Mascherano,33,Argentina,83,FC Barcelona,€10.5M,€155K,SA'
W. Sneijder,33,Netherlands,83,OGC Nice,€15.5M,€47K,EU'
Nani,30,Portugal,83,Lazio,€24.5M,€47K,EU'
D. De Rossi,33,Italy,83,Roma,€10.5M,€73K,EU'
José Reina,34,Spain,83,Napoli,€10.5M,€59K,EU'
Quaresma,33,Portugal,83,Beşiktaş JK,€15.5M,€67K,EU'
Y. Touré,34,Ivory Coast,83,Manchester City,€12.5M,€145K,
Casillas,36,Spain,83,FC Porto,€3.5M,€10K,EU'
G. Donnarumma,18,Italy,82,Milan,€28.5M,€35K,EU'
L. Sané,21,Germany,82,Manchester City,€34.5M,€125K,EU'
T. Bakayoko,22,France,82,Chelsea,€26M,€105K,EU'
C. Tolisso,22,France,82,FC Bayern Munich,€30.5M,€98K,EU'
I. Slimani,29,Algeria,82,Leicester City,€22M,€100K,AF'
N. Fekir,23,France,82,Olympique Lyonnais,€28M,€70K,EU'
J. Seri,25,Ivory Coast,82,OGC Nice,€26M,€45K,
K. Baldé Diao,22,Senegal,82,AS Monaco,€32.5M,€46K,AF'
J. Tah,21,Germany,82,Bayer 04 Leverkusen,€26M,€47K,EU'
F. Bernardeschi,23,Italy,82,Juventus,€30.5M,€110K,EU'
T. Werner,21,Germany,82,RB Leipzig,€30.5M,€68K,EU'
André Gomes,23,Portugal,82,FC Barcelona,€30M,€150K,EU'
A. Martial,21,France,82,Manchester United,€33M,€115K,EU'
L. Goretzka,22,Germany,82,FC Schalke 04,€30M,€46K,EU'
Q. Promes,25,Netherlands,82,Spartak Moscow,€28M,€76K,EU'
Lucas Vázquez,26,Spain,82,Real Madrid CF,€26M,€185K,EU'
Saúl,22,Spain,82,Atlético Madrid,€32M,€59K,EU'
Felipe,28,Brazil,82,FC Porto,€18M,€20K,SA'
C. Bacca,30,Colombia,82,Villarreal CF,€21.5M,€125K,SA'
F. Vázquez,28,Italy,82,Sevilla FC,€22.5M,€27K,EU'
M. Kovačić,23,Croatia,82,Real Madrid CF,€30M,€150K,EU'
Sergio Rico,23,Spain,82,Sevilla FC,€21.5M,€16K,EU'
Manu Trigueros,25,Spain,82,Villarreal CF,€27.5M,€43K,EU'
A. Rüdiger,24,Germany,82,Chelsea,€24.5M,€105K,EU'
F. Thauvin,24,France,82,Olympique de Marseille,€28M,€40K,EU'
S. Savić,26,Montenegro,82,Atlético Madrid,€24M,€62K,EU'
Iñigo Martínez,26,Spain,82,Real Sociedad,€24M,€37K,EU'
Roque Mesa,28,Spain,82,Swansea City,€18M,€85K,EU'
A. Florenzi,26,Italy,82,Roma,€22M,€73K,EU'
D. Klaassen,24,Netherlands,82,Everton,€27.5M,€110K,EU'
K. Bellarabi,27,Germany,82,Bayer 04 Leverkusen,€23M,€67K,EU'
R. Sterling,22,England,82,Manchester City,€29.5M,€140K,
Suso,23,Spain,82,Milan,€29.5M,€110K,EU'
Deulofeu,23,Spain,82,FC Barcelona,€31M,€165K,EU'
E. Dier,23,England,82,Tottenham Hotspur,€25M,€85K,
M. Rojo,27,Argentina,82,Manchester United,€21M,€130K,SA'
Lucas,24,Brazil,82,Paris Saint-Germain,€28M,€92K,SA'
H. Son,24,Korea Republic,82,Tottenham Hotspur,€28M,€95K,
F. Acerbi,29,Italy,82,Sassuolo,€17M,€68K,EU'
G. Xhaka,24,Switzerland,82,Arsenal,€27.5M,€110K,EU'
Jonathan Viera,27,Spain,82,UD Las Palmas,€23M,€31K,EU'
Pizzi,27,Portugal,82,SL Benfica,€23M,€19K,EU'
Willian José,25,Brazil,82,Real Sociedad,€29M,€42K,SA'
O. Baumann,27,Germany,82,TSG 1899 Hoffenheim,€18M,€37K,EU'
G. Medel,29,Chile,82,Beşiktaş JK,€17M,€64K,SA'
Víctor Ruíz,28,Spain,82,Villarreal CF,€20M,€43K,EU'
X. Shaqiri,25,Switzerland,82,Stoke City,€28M,€85K,EU'
J. Cuadrado,29,Colombia,82,Juventus,€21.5M,€130K,SA'
C. Immobile,27,Italy,82,Lazio,€26M,€70K,EU'
Douglas Costa,26,Brazil,82,Juventus,€24M,€115K,SA'
N. Clyne,26,England,82,Liverpool,€22M,€115K,
Iborra,29,Spain,82,Leicester City,€17M,€85K,EU'
K. Trapp,26,Germany,82,Paris Saint-Germain,€18.5M,€71K,EU'
V. Wanyama,26,Kenya,82,Tottenham Hotspur,€23M,€99K,AF'
Taison,29,Brazil,82,Shakhtar Donetsk,€21.5M,€1K,SA'
Marlos,29,Brazil,82,Shakhtar Donetsk,€21.5M,€1K,SA'
L. Stindl,28,Germany,82,Borussia Mönchengladbach,€23M,€56K,EU'
M. Balotelli,26,Italy,82,OGC Nice,€24.5M,€51K,EU'
A. Ramsey,26,Wales,82,Arsenal,€25.5M,€130K,
W. Szczęsny,27,Poland,82,Juventus,€18M,€90K,EU'
G. Sigurðsson,27,Iceland,82,Everton,€23M,€130K,EU'
Y. Brahimi,27,Algeria,82,FC Porto,€23M,€21K,AF'
M. Arnautović,28,Austria,82,West Ham United,€22.5M,€125K,EU'
J. Henderson,27,England,82,Liverpool,€21.5M,€115K,
M. Kruse,29,Germany,82,SV Werder Bremen,€22M,€47K,EU'
O. Karnezis,31,Greece,82,Watford,€13.5M,€30K,EU'
L. Fejsa,28,Serbia,82,SL Benfica,€18M,€18K,EU'
F. Muslera,31,Uruguay,82,Galatasaray SK,€13.5M,€57K,SA'
V. Ćorluka,31,Croatia,82,Lokomotiv Moscow,€15M,€54K,EU'
G. Wijnaldum,26,Netherlands,82,Liverpool,€27M,€130K,EU'
F. Fazio,30,Argentina,82,Roma,€16.5M,€73K,SA'
O. Giroud,30,France,82,Arsenal,€21.5M,€140K,EU'
B. Ivanović,33,Serbia,82,Zenit St. Petersburg,€9M,€73K,EU'
J. Hernández,29,Mexico,82,West Ham United,€22M,€135K,NA'
Beñat,30,Spain,82,Athletic Club de Bilbao,€20.5M,€35K,EU'
L. Bender,28,Germany,82,Bayer 04 Leverkusen,€20M,€64K,EU'
A. Witsel,28,Belgium,82,,€0,€0.00,EU'
C. Bravo,34,Chile,82,Manchester City,€9M,€110K,SA'
A. Begović,30,Bosnia Herzegovina,82,Bournemouth,€14M,€64K,
Naldo,34,Brazil,82,FC Schalke 04,€6.5M,€48K,SA'
D. Sturridge,27,England,82,Liverpool,€23.5M,€140K,
D. Rose,26,England,82,Tottenham Hotspur,€21M,€99K,
C. Vela,28,Mexico,82,Real Sociedad,€22.5M,€46K,NA'
E. Viviano,31,Italy,82,Sampdoria,€13.5M,€37K,EU'
G. Castro,30,Germany,82,Borussia Dortmund,€20.5M,€72K,EU'
S. Nasri,30,France,82,Antalyaspor,€21M,€29K,EU'
A. Williams,32,Wales,82,Everton,€12.5M,€115K,
S. Mandanda,32,France,82,Olympique de Marseille,€12.5M,€31K,EU'
L. Baines,32,England,82,Everton,€12.5M,€115K,
A. Consigli,30,Italy,82,Sassuolo,€14M,€52K,EU'
João Moutinho,30,Portugal,82,AS Monaco,€20.5M,€48K,EU'
B. Costil,29,France,82,Girondins de Bordeaux,€15M,€46K,EU'
Raúl Albiol,31,Spain,82,Napoli,€15M,€73K,EU'
J. Hart,30,England,82,West Ham United,€14M,€110K,
M. Gómez,31,Germany,82,VfL Wolfsburg,€20M,€85K,EU'
Raffael,32,Brazil,82,Borussia Mönchengladbach,€17.5M,€54K,SA'
A. Turan,30,Turkey,82,FC Barcelona,€20.5M,€170K,AS'
Fernandinho,32,Brazil,82,Manchester City,€12.5M,€130K,SA'
David Villa,35,Spain,82,New York City Football Club,€10M,€12K,EU'
S. Lichtsteiner,33,Switzerland,82,Juventus,€8.5M,€115K,EU'
R. Jarstein,32,Norway,82,Hertha BSC Berlin,€12.5M,€30K,EU'
Gabriel Jesus,20,Brazil,81,Manchester City,€31M,€115K,SA'
Nélson Semedo,23,Portugal,81,FC Barcelona,€20.5M,€125K,EU'
Gelson Martins,22,Portugal,81,Sporting CP,€25M,€20K,EU'
Malcom,20,Brazil,81,Girondins de Bordeaux,€24.5M,€47K,SA'
J. Weigl,21,Germany,81,Borussia Dortmund,€21M,€46K,EU'
D. Sánchez,21,Colombia,81,Tottenham Hotspur,€21.5M,€70K,SA'
A. Kramarić,26,Croatia,81,TSG 1899 Hoffenheim,€22M,€50K,EU'
M. Brozović,24,Croatia,81,Inter,€23M,€64K,EU'
Williams,23,Spain,81,Athletic Club de Bilbao,€24.5M,€31K,EU'
Dani García,27,Spain,81,SD Eibar,€17M,€26K,EU'
A. Christensen,21,Denmark,81,Chelsea,€23M,€86K,EU'
J. Kimmich,22,Germany,81,FC Bayern Munich,€20.5M,€81K,EU'
Bruma,22,Portugal,81,RB Leipzig,€24M,€63K,EU'
D. Berardi,22,Italy,81,Sassuolo,€24.5M,€62K,EU'
M. Sanson,22,France,81,Olympique de Marseille,€24M,€34K,EU'
A. Rabiot,22,France,81,Paris Saint-Germain,€23.5M,€77K,EU'
R. Guerreiro,23,Portugal,81,Borussia Dortmund,€24M,€58K,EU'
J. Vardy,30,England,81,Leicester City,€17M,€89K,
H. Ziyech,24,Morocco,81,Ajax,€23M,€16K,AF'
M. Keane,24,England,81,Everton,€21M,€91K,
Jorginho,25,Italy,81,Napoli,€22M,€71K,EU'
Héctor Bellerín,22,Spain,81,Arsenal,€21M,€91K,EU'
J. Butland,24,England,81,Stoke City,€18M,€50K,
S. Zaza,26,Italy,81,Valencia CF,€21M,€44K,EU'
T. Meunier,25,Belgium,81,Paris Saint-Germain,€18.5M,€77K,EU'
Felipe Anderson,24,Brazil,81,Lazio,€24M,€57K,SA'
Rafinha,24,Brazil,81,FC Barcelona,€23.5M,€140K,SA'
Nacho Fernández,27,Spain,81,Real Madrid CF,€17.5M,€145K,EU'
J. Cillessen,28,Netherlands,81,FC Barcelona,€15M,€125K,EU'
Sergi Roberto,25,Spain,81,FC Barcelona,€19.5M,€140K,EU'
W. Ben Yedder,26,France,81,Sevilla FC,€21M,€26K,EU'
Lucas Pérez,28,Spain,81,RC Deportivo de La Coruña,€18.5M,€135K,EU'
R. Barkley,23,England,81,Everton,€24M,€105K,
C. Bakambu,26,DR Congo,81,Villarreal CF,€22.5M,€45K,
W. Zaha,24,Ivory Coast,81,Crystal Palace,€22.5M,€60K,
Bartra,26,Spain,81,Borussia Dortmund,€18M,€61K,EU'
S. Aurier,24,Ivory Coast,81,Tottenham Hotspur,€19M,€79K,
S. Coates,26,Uruguay,81,Sporting CP,€18M,€21K,SA'
G. Krychowiak,27,Poland,81,West Bromwich Albion,€17.5M,€81K,EU'
K. Kampl,26,Slovenia,81,RB Leipzig,€21M,€73K,EU'
D. Lovren,27,Croatia,81,Liverpool,€17.5M,€110K,EU'
A. Yarmolenko,27,Ukraine,81,Borussia Dortmund,€18.5M,€72K,EU'
Y. Belhanda,27,Morocco,81,Galatasaray SK,€18.5M,€71K,AF'
Mário Fernandes,26,Russia,81,CSKA Moscow,€17M,€52K,
R. Rodríguez,24,Switzerland,81,Milan,€18.5M,€83K,EU'
J. Corona,24,Mexico,81,FC Porto,€23M,€17K,NA'
Mario Gaspar,26,Spain,81,Villarreal CF,€18M,€38K,EU'
Marcos Alonso,26,Spain,81,Chelsea,€17.5M,€115K,EU'
M. Götze,25,Germany,81,Borussia Dortmund,€22.5M,€63K,EU'
L. Hrádecký,27,Finland,81,Eintracht Frankfurt,€14.5M,€28K,EU'
Illarramendi,27,Spain,81,Real Sociedad,€18M,€37K,EU'
De Marcos,28,Spain,81,Athletic Club de Bilbao,€14M,€31K,EU'
C. Smalling,27,England,81,Manchester United,€17M,€120K,
Iturraspe,28,Spain,81,Athletic Club de Bilbao,€17.5M,€33K,EU'
J. Wilshere,25,England,81,Arsenal,€22M,€115K,
S. Rudy,27,Germany,81,FC Bayern Munich,€20M,€105K,EU'
M. Lanzini,24,Argentina,81,West Ham United,€24.5M,€95K,SA'
R. Boudebouz,27,Algeria,81,Real Betis Balompié,€20.5M,€32K,AF'
Camacho,27,Spain,81,VfL Wolfsburg,€18M,€66K,EU'
Paulinho,28,Brazil,81,FC Barcelona,€17.5M,€165K,SA'
N. Kalinić,29,Croatia,81,Milan,€18M,€84K,EU'
Giuliano,27,Brazil,81,Fenerbahçe SK,€20.5M,€80K,SA'
C. Benteke,26,Belgium,81,Crystal Palace,€22M,€75K,EU'
D. Perotti,28,Argentina,81,Roma,€18M,€84K,SA'
M. Parolo,32,Italy,81,Lazio,€13.5M,€60K,EU'
K. Mitroglou,29,Greece,81,Olympique de Marseille,€18M,€44K,EU'
M. Sakho,27,France,81,Crystal Palace,€17M,€63K,EU'
A. Rami,31,France,81,Olympique de Marseille,€12M,€35K,EU'
S. Jovetić,27,Montenegro,81,AS Monaco,€21M,€48K,EU'
S. Coleman,28,Republic of Ireland,81,Everton,€14M,€115K,
S. Kjær,28,Denmark,81,Sevilla FC,€16M,€23K,EU'
Adán,30,Spain,81,Real Betis Balompié,€11.5M,€24K,EU'
M. Valbuena,32,France,81,Fenerbahçe SK,€14M,€86K,EU'
S. Mignolet,29,Belgium,81,Liverpool,€12M,€91K,EU'
D. Astori,30,Italy,81,Fiorentina,€13M,€68K,EU'
K. Mirallas,29,Belgium,81,Everton,€17.5M,€125K,EU'
Raúl García,30,Spain,81,Athletic Club de Bilbao,€17M,€32K,EU'
M. Škrtel,32,Slovakia,81,Fenerbahçe SK,€10M,€73K,
T. Heaton,31,England,81,Burnley,€11M,€51K,
H. Ben Arfa,30,France,81,Paris Saint-Germain,€17M,€88K,EU'
Dante,33,Brazil,81,OGC Nice,€7M,€39K,SA'
A. Gignac,31,France,81,Tigres U.A.N.L.,€16M,€84K,EU'
Gabi,33,Spain,81,Atlético Madrid,€10.5M,€62K,EU'
G. Rodríguez,33,Argentina,81,San Lorenzo de Almagro,€7M,€27K,SA'
D. Srna,35,Croatia,81,Shakhtar Donetsk,€3.8M,€1K,EU'
B. Schweinsteiger,32,Germany,81,Chicago Fire Soccer Club,€13.5M,€13K,EU'
C. Carrasso,35,France,81,Galatasaray SK,€4.2M,€34K,EU'
Moyá,33,Spain,81,Atlético Madrid,€9M,€46K,EU'
