A. Barberis,23,Italy,69,Crotone,€1.4M,€7K
A. Barillà,29,Italy,67,Parma,€725K,€4K
A. Barkok,19,Germany,68,Eintracht Frankfurt,€1.9M,€9K
A. Barnes,27,Austria,74,Burnley,€6M,€53K
A. Barreca,22,Italy,75,Torino,€10M,€31K
A. Barylla,20,Germany,60,FSV Zwickau,€325K,€1K
A. Barzagli,36,Italy,85,Juventus,€5M,€105K
A. Barák,22,Czech Republic,72,Udinese,€5M,€16K
A. Bassi,19,France,58,AS Nancy Lorraine,€270K,€1K
A. Basta,28,Poland,63,Sandecja Nowy Sącz,€290K,€1K
A. Bastoni,18,Italy,64,Atalanta,€850K,€7K
A. Batisse,22,France,63,Chamois Niortais FC,€450K,€1K
A. Beck,30,Germany,75,VfB Stuttgart,€4.8M,€22K
A. Beghetto,22,Italy,61,Frosinone,€350K,€5K
A. Bellemo,21,Italy,59,Ferrara (SPAL),€230K,€2K
A. Bellinghausen,34,Germany,67,Fortuna Düsseldorf,€375K,€16K
A. Belotti,23,Italy,83,Torino,€37M,€58K
A. Benedetti,25,Italy,60,Cittadella,€210K,€1K
A. Bengtsson,21,Sweden,61,Halmstads BK,€290K,€1K
A. Berardi,26,Italy,63,Bari,€300K,€1K
A. Berisha,19,Sweden,50,Halmstads BK,€60K,€1K
A. Bernardini,30,Italy,70,Salernitana,€1.3M,€4K
A. Bernede,18,France,61,Paris Saint-Germain,€425K,€7K
A. Berntsson,21,Sweden,61,Halmstads BK,€300K,€1K
A. Bertolacci,26,Italy,77,Genoa,€11M,€88K
A. Bifulco,20,Italy,58,Vercelli,€220K,€6K
A. Bischoff,30,Portugal,67,Hansa Rostock,€700K,€1K
A. Bjelica,23,Serbia,70,KV Oostende,€2.1M,€9K
A. Bjelland,28,Denmark,73,Brentford,€3.2M,€40K
A. Björkebaum,29,Sweden,61,IK Sirius,€250K,€1K
A. Blin,20,France,72,Toulouse FC,€4.7M,€14K
A. Bliznichenko,22,Ukraine,65,Kardemir Karabükspor,€725K,€4K
A. Blomqvist,25,Sweden,67,IFK Norrköping,€1M,€4K
A. Bobichon,21,France,59,Nîmes Olympique,€220K,€1K
A. Bodart,19,Belgium,59,Standard de Liège,€230K,€1K
A. Bodzek,31,Poland,69,Fortuna Düsseldorf,€700K,€14K
A. Bogdán,29,Hungary,70,Liverpool,€1.2M,€45K
A. Boljević,21,Montenegro,66,Waasland-Beveren,€950K,€3K
A. Bonnet,30,France,70,Le Havre AC,€1.7M,€6K
A. Bordin,18,Italy,61,Ternana,€525K,€6K
A. Borkovic,18,Austria,57,FK Austria Wien,€190K,€2K
A. Boruc,37,Poland,77,Bournemouth,€600K,€32K
A. Borysiuk,25,Poland,70,Queens Park Rangers,€1.9M,€18K
A. Bouchalakis,24,Greece,71,Nottingham Forest,€3M,€18K
A. Bouchard,29,France,60,Chamois Niortais FC,€140K,€1K
A. Bourceanu,32,Romania,66,Arsenal Tula,€475K,€8K
A. Briançon,22,France,69,Nîmes Olympique,€1.4M,€3K
A. Brighenti,29,Italy,68,Cremonese,€900K,€3K
A. Brignoli,25,Italy,70,Benevento Calcio,€1.5M,€39K
A. Brorsson,18,Sweden,58,Örebro SK,€180K,€1K
A. Bruhn,23,Denmark,61,Randers FC,€350K,€3K
A. Brunst,21,Germany,63,1. FC Magdeburg,€450K,€1K
A. Bruseth,18,Norway,50,Kristiansund BK,€50K,€1K
A. Budimir,25,Croatia,70,Crotone,€2.2M,€24K
A. Buksa,20,Poland,64,Zagłębie Lubin,€700K,€3K
A. Bukva,19,Sweden,52,IFK Norrköping,€90K,€1K
A. Busin,21,France,64,AS Nancy Lorraine,€675K,€2K
A. Büttner,28,Netherlands,74,Vitesse,€4.4M,€12K
A. Caci,20,France,58,RC Strasbourg,€220K,€3K
A. Cajtoft,23,Sweden,66,Jönköpings Södra IF,€750K,€1K
A. Calabresi,21,Italy,64,La Spezia,€600K,€10K
A. Calisir,27,Sweden,67,Jönköpings Södra IF,€750K,€2K
A. Camigliano,22,Italy,64,Cittadella,€525K,€1K
A. Campion,27,France,57,Cork City,€120K,€1K
A. Canbaz,19,Germany,59,Eintracht Braunschweig,€325K,€2K
A. Candreva,30,Italy,80,Inter,€14M,€74K
A. Caracciolo,27,Italy,71,Hellas Verona,€2.3M,€17K
A. Caracciolo,35,Italy,69,Brescia,€475K,€3K
A. Castro-Montes,20,Belgium,60,KAS Eupen,€375K,€2K
A. Cavagnera,18,Belgium,57,Standard de Liège,€190K,€1K
A. Celli,23,Italy,54,Foggia,€90K,€1K
A. Cerci,29,Italy,75,Hellas Verona,€6.5M,€30K
A. Cerri,21,Italy,69,Perugia,€1.9M,€41K
A. Ceylan,19,Germany,57,SC Fortuna Köln,€180K,€1K
A. Chatzigiovanis,20,Greece,67,Panathinaikos FC,€1.2M,€1K
A. Chipciu,28,Romania,74,RSC Anderlecht,€5.5M,€23K
A. Christensen,21,Denmark,81,Chelsea,€23M,€86K
A. Christiansen,27,Denmark,74,Malmö FF,€6.5M,€8K
A. Ciciretti,23,Italy,75,Benevento Calcio,€9.5M,€24K
A. Cinelli,27,Italy,67,Cremonese,€775K,€10K
A. Cissokho,29,France,71,Evkur Yeni Malatyaspor,€1.8M,€11K
A. Claude-Maurice,19,France,63,FC Lorient,€800K,€1K
A. Cocco,31,Italy,68,Pescara,€800K,€4K
A. Coda,32,Italy,68,Pescara,€525K,€3K
A. Coeff,25,France,69,Stade Brestois 29,€1.1M,€14K
A. Collin,31,France,72,New York Red Bulls,€2.1M,€6K
A. Condé,20,Germany,61,Holstein Kiel,€550K,€8K
A. Confais,20,France,61,ES Troyes AC,€425K,€3K
A. Confente,19,Italy,60,Chievo Verona,€375K,€1K
A. Consigli,30,Italy,82,Sassuolo,€14M,€52K
A. Conti,23,Italy,75,Milan,€10M,€64K
A. Corasaniti,18,Italy,48,Cittadella,€50K,€1K
A. Cordaro,31,Belgium,70,SV Zulte-Waregem,€1.6M,€12K
A. Cordaz,34,Italy,72,Crotone,€1.3M,€7K
A. Cornelius,24,Denmark,73,Atalanta,€5.5M,€25K
A. Corryn,23,Belgium,65,Royal Antwerp FC,€600K,€4K
A. Cossu,37,Italy,69,Cagliari,€350K,€22K
A. Costa,31,Italy,74,Benevento Calcio,€3.8M,€25K
A. Cragno,23,Italy,72,Cagliari,€3.8M,€20K
A. Crescenzi,25,Italy,69,Pescara,€1.1M,€3K
A. Czerwiński,24,Poland,64,Zagłębie Lubin,€525K,€2K
A. D'Angelo,31,Italy,66,Avellino,€550K,€2K
A. Da Cruz,20,Netherlands,62,Novara,€500K,€1K
A. Damen,27,Netherlands,65,Excelsior,€450K,€3K
A. Danch,29,Poland,67,Arka Gdynia,€600K,€6K
A. Danek,22,Poland,58,Sandecja Nowy Sącz,€180K,€1K
A. Danielsen,32,Norway,67,Viking FK,€450K,€4K
A. Dartsch,22,Germany,60,Chemnitzer FC,€300K,€1K
A. De Oliveira Maia,19,France,56,Valenciennes FC,€160K,€1K
A. De Sart,20,Belgium,64,Sint-Truidense VV,€700K,€3K
A. Deiola,21,Italy,64,Cagliari,€700K,€10K
A. Dej,25,Poland,69,Sportfreunde Lotte,€1.3M,€1K
A. Deja,24,Poland,63,Cracovia,€450K,€1K
A. Delort,25,France,76,Toulouse FC,€10M,€35K
A. Dembélé,29,France,68,Chamois Niortais FC,€850K,€5K
A. Dercho,30,Germany,67,VfL Osnabrück,€550K,€1K
A. Desmas,23,France,63,Chamois Niortais FC,€375K,€1K
A. Devaux,32,France,67,Stade de Reims,€575K,€7K
A. Di Gaudio,27,Italy,73,Parma,€4.2M,€6K
A. Diakhaby,20,France,72,AS Monaco,€5M,€19K
A. Diallo,21,France,68,1. FSV Mainz 05,€1.3M,€11K
A. Diawusie,19,Germany,61,SV Wehen Wiesbaden,€550K,€6K
A. Dijksteel,20,Netherlands,58,Charlton Athletic,€250K,€1K
A. Diomande,27,Norway,69,Hull City,€1.2M,€8K
A. Disasi,19,France,59,Stade de Reims,€260K,€1K
A. Djiku,22,France,74,SM Caen,€6.5M,€18K
A. Donis,20,Greece,71,VfB Stuttgart,€4.1M,€15K
A. Donnarumma,26,Italy,66,Milan,€575K,€16K
A. Donnarumma,26,Italy,69,Empoli,€1.3M,€3K
A. Dossena,18,Italy,56,Perugia,€170K,€1K
A. Doucouré,24,France,78,Watford,€12M,€45K
A. Dragović,26,Austria,77,Leicester City,€9M,€47K
A. Dzabana,20,France,63,Olympique Lyonnais,€825K,€9K
A. Dønnum,19,Norway,52,Vålerenga Fotball,€110K,€1K
A. Dźwigała,21,Poland,63,Wisła Płock,€475K,€1K
A. Eichhorn,18,Germany,56,SC Fortuna Köln,€110K,€1K
A. Ekdal,27,Sweden,76,Hamburger SV,€8M,€38K
A. El Ghazi,22,Netherlands,74,LOSC Lille,€7.5M,€36K
A. El Hriti,27,France,60,Tours FC,€170K,€1K
A. El Khayati,28,Netherlands,66,ADO Den Haag,€650K,€4K
A. El-Amrani,25,Norway,54,Stabæk Fotball,€70K,€1K
A. Elek,28,Hungary,71,,€0,
A. Elek,28,Hungary,71,,€0,€0.00
A. Engin,20,Germany,66,MSV Duisburg,€1.2M,€2K
A. Epureanu,30,Moldova,74,İstanbul Başakşehir FK,€4.2M,€23K
A. Eriksson,35,Sweden,63,IK Sirius,€160K,€1K
A. Erlingmark,19,Sweden,58,IFK Göteborg,€270K,€1K
A. Esposito,31,Italy,65,Cesena,€375K,€1K
A. Esswein,27,Germany,73,Hertha BSC Berlin,€4.2M,€27K
A. Fagerström,25,Sweden,56,Örebro SK,€80K,€1K
A. Faivre,39,France,59,Bourg en Bresse Péronnas 01,€10K,€1K
A. Falch,25,Norway,61,IFK Norrköping,€250K,€1K
A. Faltsetas,29,Sweden,65,BK Häcken,€525K,€2K
A. Farnerud,33,Sweden,72,BK Häcken,€1.8M,€4K
A. Favalli,24,Italy,55,Ternana,€100K,€1K
A. Favilli,20,Italy,66,Ascoli,€1.1M,€1K
A. Feick,29,Germany,70,1. FC Heidenheim,€1.3M,€13K
A. Ferati,19,Germany,63,FC Erzgebirge Aue,€700K,€3K
A. Ferrante,22,Italy,63,Brescia,€575K,€1K
A. Ferrari,23,Italy,69,Hellas Verona,€1.2M,€21K
A. Fink,29,Germany,70,Karlsruher SC,€1.8M,€1K
A. Finnbogason,28,Iceland,76,FC Augsburg,€8M,€33K
A. Fiola,27,Hungary,72,,€0,
A. Fiola,27,Hungary,72,,€0,€0.00
A. Fioretos,22,Greece,52,FC Helsingør,€80K,€1K
A. Florenzi,26,Italy,82,Roma,€22M,€73K
A. Floro Flores,34,Italy,72,Bari,€1.6M,€14K
A. Fransson,23,Sweden,73,FC Basel,€5.5M,€27K
A. Frara,34,Italy,67,Frosinone,€375K,€3K
A. Frączczak,29,Poland,69,Pogoń Szczecin,€1.1M,€5K
A. Fuchs,20,Germany,59,1. FC Nürnberg,€280K,€2K
A. Fulgini,20,France,68,Angers SCO,€1.4M,€11K
A. Fulignati,22,Italy,64,Cesena,€475K,€1K
A. Fägerhag,19,Sweden,51,Jönköpings Södra IF,€80K,€1K
A. Gabrielsen,31,Norway,63,Sandefjord Fotball,€250K,€1K
A. Galabinov,28,Bulgaria,70,Genoa,€1.8M,€24K
A. Galens,19,Belgium,55,KV Kortrijk,€160K,€1K
A. Gamberini,35,Italy,77,Chievo Verona,€2.1M,€14K
A. Gambetta,20,France,59,RC Strasbourg,€220K,€2K
A. Garofalo,32,Italy,69,F.B.C. Unione Venezia,€575K,€4K
A. Gaţcan,33,Moldova,72,FC Rostov,€1.8M,€23K
A. Geipl,25,Germany,66,SSV Jahn Regensburg,€675K,€3K
A. Georgen,18,France,63,Paris Saint-Germain,€675K,€6K
A. Georgiev,23,Bulgaria,61,,€0,
A. Georgiev,23,Bulgaria,61,,€0,€0.00
A. Gerbo,27,Italy,61,Foggia,€230K,€1K
A. Gerndt,30,Sweden,73,FC Lugano,€3.9M,€11K
A. Giacomel,18,Italy,49,Empoli,€50K,€1K
A. Gignac,31,France,81,Tigres U.A.N.L.,€16M,€84K
A. Gilardi,22,Italy,52,Vercelli,€60K,€1K
A. Gogia,25,Germany,71,1. FC Union Berlin,€2.9M,€23K
A. Gonçalves,31,France,70,RC Strasbourg,€1.5M,€17K
A. Gory,20,France,54,Le Havre AC,€130K,€1K
A. Gouiri,17,France,64,Olympique Lyonnais,€900K,€10K
A. Gounet,28,France,59,US Quevilly-Rouen,€130K,€1K
A. Granqvist,32,Sweden,80,FC Krasnodar,€8.5M,€50K
A. Grassi,22,Italy,71,Ferrara (SPAL),€3.6M,€32K
A. Gravillon,19,France,64,Benevento Calcio,€750K,€4K
A. Grbic,20,Austria,59,SCR Altach,€230K,€2K
A. Grgić,20,Switzerland,68,VfB Stuttgart,€1.5M,€11K
A. Griezmann,26,France,88,Atlético Madrid,€75M,€150K
A. Grimaldi,26,Germany,68,SC Preußen Münster,€1.1M,€1K
A. Groven,25,Norway,63,Sarpsborg 08 FF,€375K,€1K
A. Gruber,22,Austria,64,SV Mattersburg,€625K,€6K
A. Grünwald,28,Austria,72,FK Austria Wien,€3.1M,€17K
A. Guarnone,18,Italy,59,Milan,€260K,€3K
A. Gunnarsson,28,Iceland,70,Cardiff City,€1.8M,€21K
A. Guðmundsson,20,Iceland,66,PSV,€1M,€4K
A. Gyurcsó,26,Hungary,71,Pogoń Szczecin,€2.8M,€6K
A. Gérard,24,France,67,RC Lens,€1M,€5K
A. Götz,23,Germany,66,Roda JC Kerkrade,€700K,€3K
A. Głowacki,38,Poland,70,Wisła Kraków,€240K,€4K
A. Hack,23,Germany,71,1. FSV Mainz 05,€3.2M,€15K
A. Hadenius,26,Sweden,62,IFK Norrköping,€325K,€1K
A. Hadouir,34,Netherlands,66,Excelsior,€325K,€3K
A. Hahn,26,Germany,76,Hamburger SV,€9M,€41K
A. Halilović,21,Croatia,77,UD Las Palmas,€13M,€30K
A. Halme,19,Finland,57,HJK Helsinki,€150K,€1K
A. Hanche-Olsen,20,Norway,65,Stabæk Fotball,€700K,€1K
A. Hansen,27,Norway,72,Rosenborg BK,€2.5M,€5K
A. Helmersen,19,Norway,57,Rosenborg BK,€220K,€1K
A. Henger,21,Poland,55,Pogoń Szczecin,€140K,€1K
A. Hirzel,24,Switzerland,60,Hamburger SV,€190K,€3K
A. Hjulsager,22,Denmark,67,RC Celta de Vigo,€1.2M,€12K
A. Hloušek,28,Czech Republic,71,Legia Warszawa,€1.9M,€8K
A. Hlynsson,17,Iceland,57,Brøndby IF,€210K,€2K
A. Hofer,20,Austria,49,Wolfsberger AC,€40K,€1K
A. Hoffmann,24,Germany,71,Fortuna Düsseldorf,€2.6M,€15K
A. Hofmann,31,Germany,68,Karlsruher SC,€600K,€1K
A. Holm Jensen,28,Denmark,61,FC Helsingør,€230K,€2K
A. Holst,24,Denmark,57,FC Helsingør,€130K,€1K
A. Hopmark,25,Norway,62,Kristiansund BK,€350K,€1K
A. Hoven,19,Norway,57,Strømsgodset IF,€200K,€1K
A. Hunou,23,France,67,Stade Rennais FC,€1.1M,€12K
A. Hunt,30,Germany,76,Hamburger SV,€7.5M,€38K
A. Höller,28,Austria,64,SV Mattersburg,€350K,€7K
A. Iacobucci,26,Italy,67,Virtus Entella,€700K,€2K
A. Ibrahim,26,Norway,69,Vålerenga Fotball,€1.3M,€4K
A. Ibrahimaj,25,Germany,59,SV Sandhausen,€180K,€1K
A. Ibsen Rømer,23,Denmark,68,FC Midtjylland,€975K,€13K
A. Ignjovski,26,Serbia,72,SC Freiburg,€3.1M,€16K
A. Ildız,20,Austria,62,Kasimpaşa SK,€400K,€2K
A. Ingegneri,25,Italy,61,Palermo,€270K,€1K
A. Ioniţă,26,Moldova,75,Cagliari,€7M,€46K
A. Isak,17,Sweden,68,Borussia Dortmund,€1.8M,€18K
A. Isaksson,35,Sweden,73,Djurgårdens IF,€950K,€4K
A. Iunco,33,Italy,65,Cittadella,€350K,€1K
A. Ivan,20,Romania,67,FC Krasnodar,€1.4M,€20K
A. Jaakkola,30,Finland,64,Reading,€290K,€7K
A. Jacobsen,27,Denmark,67,Odense Boldklub,€900K,€10K
A. Jagiełło,22,Poland,61,Piast Gliwice,€350K,€2K
A. Jakupović,19,Austria,53,Empoli,€130K,€1K
A. Jallow,19,Sweden,53,Jönköpings Södra IF,€90K,€1K
A. Januzaj,22,Belgium,77,Real Sociedad,€12.5M,€27K
A. Jawo,32,Sweden,58,Djurgårdens IF,€100K,€1K
A. Jeremejeff,23,Sweden,66,Malmö FF,€900K,€2K
A. Ježina,28,Croatia,65,Royal Antwerp FC,€425K,€3K
A. Johansen,18,Norway,51,Stabæk Fotball,€70K,€1K
A. Johansson,35,Sweden,73,IFK Norrköping,€950K,€5K
A. Jovanović,24,Serbia,64,Aarhus GF,€425K,€3K
A. Juel Andersen,26,Denmark,66,Aarhus GF,€675K,€4K
A. Jung,19,France,60,Stade de Reims,€350K,€1K
A. Jung,25,Germany,69,Brøndby IF,€1.1M,€26K
A. Junge,24,Denmark,50,FC Helsingør,€40K,€1K
A. Jędrzejczyk,29,Poland,73,Legia Warszawa,€3M,€11K
A. Kabacalman,21,Switzerland,50,FC Lausanne-Sports,€40K,€1K
A. Kalulu,21,France,67,FC Sochaux-Montbéliard,€1.2M,€27K
A. Kaluđerović,29,Serbia,63,Wellington Phoenix,€375K,€1K
A. Kamara,22,France,69,Fulham,€1.6M,€24K
A. Kappenberger,20,Denmark,52,FC Helsingør,€90K,€1K
A. Karadas,35,Norway,62,SK Brann,€140K,€1K
A. Karamanos,26,Greece,69,Rio Ave FC,€1.3M,€7K
A. Karazor,20,Germany,58,Holstein Kiel,€200K,€1K
A. Karnitskiy,28,Belarus,67,FC Tosno,€625K,€13K
A. Kartalis,22,Greece,64,SpVgg Greuther Fürth,€625K,€4K
A. Katai,26,Serbia,74,Deportivo Alavés,€6.5M,€23K
A. Katranis,19,Greece,66,AS Saint-Étienne,€975K,€4K
A. Kawaya,20,Belgium,64,KV Mechelen,€775K,€4K
A. Kačaniklić,25,Sweden,73,FC Nantes,€4.8M,€22K
A. Kecskés,21,Hungary,58,Termalica Bruk-Bet Nieciecza,€160K,€1K
A. Keita,30,Sweden,65,Östersunds FK,€350K,€1K
A. Khalili,25,Sweden,70,Gençlerbirliği SK,€2.2M,€13K
A. Khammas,18,Belgium,60,KRC Genk,€375K,€1K
A. Knezovic,24,Croatia,58,Kristiansund BK,€130K,€1K
A. Knockaert,25,France,76,Brighton & Hove Albion,€9.5M,€50K
A. Kofler,30,Austria,64,Wolfsberger AC,€290K,€3K
A. Koita,18,Belgium,57,KAA Gent,€210K,€2K
A. Kojić,21,Sweden,61,Halmstads BK,€300K,€1K
A. Kokoszka,30,Poland,66,Śląsk Wrocław,€475K,€2K
A. Kolarov,31,Serbia,79,Roma,€8M,€68K
A. Kolev,24,Bulgaria,69,Sandecja Nowy Sącz,€1.4M,€3K
A. Konradsen,26,Norway,70,Rosenborg BK,€2.1M,€6K
A. Kotnik,21,Slovenia,60,Crotone,€300K,€2K
A. Koura,24,France,71,AS Nancy Lorraine,€3.1M,€6K
A. Kovačević,25,Serbia,66,FK Haugesund,€675K,€1K
A. Kramarić,26,Croatia,81,TSG 1899 Hoffenheim,€22M,€50K
A. Krešić,21,Italy,64,Avellino,€650K,€1K
A. Kristiansen,27,Norway,64,Sarpsborg 08 FF,€375K,€1K
A. Kruiswijk,32,Netherlands,73,Vitesse,€2.3M,€12K
A. Krysiak,27,Poland,60,Yeovil Town,€160K,€1K
A. Kuen,22,Austria,62,SK Rapid Wien,€425K,€4K
A. La Gumina,21,Italy,60,Palermo,€350K,€1K
A. La Mantia,26,Italy,66,Virtus Entella,€700K,€1K
A. Lacazette,26,France,85,Arsenal,€48.5M,€180K
A. Lafont,18,France,77,Toulouse FC,€11.5M,€10K
A. Lambertz,32,Germany,66,SG Dynamo Dresden,€475K,€5K
A. Lamonge,21,France,59,FC Lorient,€210K,€1K
A. Lang,24,Hungary,69,Dijon FCO,€1.2M,€9K
A. Langlitz,26,Germany,64,Sportfreunde Lotte,€450K,€1K
A. Laporte,23,France,84,Athletic Club de Bilbao,€35.5M,€36K
A. Larsen,27,Denmark,59,Lyngby BK,€140K,€1K
A. Laukart,18,Germany,62,FC Twente,€500K,€1K
A. Laurito,33,Germany,67,Rot-Weiß Erfurt,€300K,€1K
A. Laïdouni,20,France,61,Angers SCO,€290K,€3K
A. Leautey,21,France,62,Chamois Niortais FC,€500K,€1K
A. Leitner,23,Austria,66,FC Admira Wacker Mödling,€625K,€2K
A. Letellier,26,France,76,Angers SCO,€6.5M,€20K
A. Leya Iseka,19,Belgium,68,SV Zulte-Waregem,€1.5M,€9K
A. Lie,29,Norway,64,Aalesunds FK,€300K,€1K
A. Lienhart,31,Austria,68,SCR Altach,€575K,€10K
A. Ligi,27,Italy,66,Carpi,€550K,€1K
A. Limbombe,22,Belgium,73,Club Brugge KV,€5.5M,€19K
A. Linde,23,Sweden,67,Molde FK,€800K,€3K
A. Lindegaard,33,Denmark,70,Burnley,€900K,€26K
A. Linnér,18,Sweden,54,AIK Solna,€100K,€1K
A. Ljajić,25,Serbia,79,Torino,€16M,€58K
A. Llovet,19,France,58,Montpellier Hérault SC,€280K,€2K
A. Long,20,France,53,FC Sochaux-Montbéliard,€80K,€1K
A. Longhi,28,Italy,69,Brescia,€825K,€3K
A. Lopes,26,Portugal,83,Olympique Lyonnais,€22.5M,€60K
A. Losilla,31,France,71,VfL Bochum,€1.6M,€13K
A. Lucarelli,39,Italy,71,Parma,€160K,€3K
A. Lucoqui,19,Germany,59,Fortuna Düsseldorf,€260K,€2K
A. Ludwig,24,Denmark,63,AC Horsens,€450K,€2K
A. Ludwig,26,Germany,67,1. FC Magdeburg,€900K,€1K
A. Ludwig,33,Germany,64,Rot-Weiß Erfurt,€270K,€1K
A. Lukse,29,Austria,70,SCR Altach,€1.2M,€10K
A. Lundqvist,23,Sweden,67,IF Elfsborg,€875K,€3K
A. Lusamba,20,France,70,OGC Nice,€3.1M,€17K
A. Luthe,30,Germany,71,FC Augsburg,€1.5M,€13K
A. Maccoppi,30,Italy,54,FC Lausanne-Sports,€50K,€1K
A. Madiani,21,France,57,US Quevilly-Rouen,€150K,€1K
A. Maher,23,Netherlands,74,PSV,€7.5M,€14K
A. Maier,18,Germany,63,Hertha BSC Berlin,€750K,€3K
A. Maikkula,20,Sweden,56,Kalmar FF,€130K,€1K
A. Maisonnial,19,France,66,AS Saint-Étienne,€975K,€3K
A. Malarz,37,Poland,70,Legia Warszawa,€120K,€4K
A. Mandrea,20,France,64,Angers SCO,€475K,€4K
A. Mantovani,33,Italy,70,Novara,€725K,€4K
A. Marchesano,26,Switzerland,58,FC Zürich,€160K,€2K
A. Marciniak,28,Poland,63,Arka Gdynia,€290K,€2K
A. Marfaing,21,France,58,Le Havre AC,€180K,€1K
A. Marin,27,France,68,AC Ajaccio,€850K,€4K
A. Martial,21,France,82,Manchester United,€33M,€115K
A. Martinelli,24,Switzerland,68,Brescia,€975K,€3K
A. Martynovich,29,Belarus,74,FC Krasnodar,€4.4M,€36K
A. Marušić,24,Montenegro,71,Lazio,€2.6M,€23K
A. Masi,24,Italy,67,La Spezia,€875K,€3K
A. Masiello,31,Italy,77,Atalanta,€6M,€28K
A. Masina,23,Italy,74,Bologna,€6.5M,€36K
A. Matri,32,Italy,76,Sassuolo,€6M,€59K
A. Matuschyk,28,Poland,67,Zagłębie Lubin,€750K,€6K
A. Matějů,21,Czech Republic,66,Brighton & Hove Albion,€850K,€9K
A. Maxim,26,Romania,75,1. FSV Mainz 05,€8M,€27K
A. Maxsø,23,Denmark,68,Osmanlıspor,€1.1M,€9K
A. Mazzotta,27,Italy,68,Pescara,€750K,€3K
A. Mehmedi,26,Switzerland,76,Bayer 04 Leverkusen,€9M,€56K
A. Meier,34,Germany,77,Eintracht Frankfurt,€4.7M,€34K
A. Meijers,29,Netherlands,71,ADO Den Haag,€1.8M,€9K
A. Melgalvis,27,Norway,63,Lillestrøm SK,€375K,€1K
A. Mendy,23,France,71,Girondins de Bordeaux,€3.2M,€26K
A. Mengoni,33,Italy,67,Ascoli,€300K,€3K
A. Meret,20,Italy,74,Ferrara (SPAL),€10.5M,€14K
A. Meyer,26,Germany,62,VfB Stuttgart,€260K,€3K
A. Micai,23,Italy,73,Bari,€4M,€4K
A. Michel,24,Sweden,60,AFC Eskilstuna,€240K,€1K
A. Mierzejewski,30,Poland,72,Sydney FC,€2.9M,€8K
A. Milik,23,Poland,79,Napoli,€18M,€71K
A. Militari,18,Italy,55,Cesena,€180K,€1K
A. Milić,23,Croatia,71,KV Oostende,€2.7M,€9K
